original_row_index,oof_pred_knn,rating_true
1,3.37,3.0
2,3.25,2.0
3,4.47,2.0
5,3.96,2.0
7,3.93,2.0
8,3.28,2.5
9,3.49,1.0
10,3.63,4.0
11,4.37,4.0
12,3.74,3.0
14,3.36,2.0
15,3.52,2.5
16,4.07,1.0
18,3.37,4.0
20,3.37,5.0
22,4.2,4.0
25,3.8,5.0
29,3.58,3.0
30,2.97,3.0
31,2.8,3.0
37,3.85,4.0
39,3.85,5.0
40,4.0,4.0
45,3.87,4.0
48,3.74,3.0
49,3.74,3.0
52,3.78,3.0
53,3.7,3.0
54,3.73,3.0
55,2.52,2.0
57,3.94,3.0
59,3.81,4.0
63,3.85,4.0
64,3.74,4.0
66,4.27,4.0
67,3.4,3.0
68,3.77,5.0
69,3.37,3.0
70,3.1,3.0
72,3.4,3.0
74,3.87,5.0
75,3.47,5.0
76,3.91,3.0
77,3.49,3.0
80,3.36,3.0
86,4.09,5.0
88,4.27,3.0
90,3.47,3.0
93,3.38,3.5
94,4.09,4.0
96,4.18,5.0
99,4.08,3.0
100,3.82,4.0
101,3.57,3.5
102,3.22,4.5
103,3.63,4.0
104,4.1,4.0
105,4.03,4.0
107,3.39,3.0
108,3.96,3.0
113,3.58,4.0
115,3.6,3.0
116,3.69,3.5
117,3.88,3.0
119,4.05,3.0
122,3.87,3.5
124,3.57,4.5
127,3.67,5.0
130,2.76,4.0
132,2.97,3.0
133,4.33,5.0
136,3.86,5.0
137,4.09,5.0
141,3.63,3.0
143,3.1,4.0
146,3.81,5.0
148,3.68,5.0
149,3.94,5.0
150,3.87,3.0
153,3.47,4.0
154,3.25,5.0
155,4.48,5.0
157,4.09,4.0
158,4.06,5.0
162,3.65,5.0
163,3.24,5.0
166,3.67,5.0
168,3.98,5.0
169,4.31,5.0
170,3.75,5.0
171,3.36,5.0
174,4.25,5.0
176,4.28,5.0
177,3.97,5.0
179,4.32,5.0
180,4.07,5.0
181,4.35,5.0
182,3.98,5.0
185,4.08,5.0
186,4.21,5.0
188,3.83,5.0
192,4.28,5.0
193,4.2,5.0
194,3.86,5.0
198,4.01,4.0
202,3.6,3.0
204,3.89,3.0
205,3.49,3.0
209,3.41,3.0
211,3.8,4.0
212,3.88,5.0
213,3.25,1.0
214,3.3,5.0
215,3.02,4.0
217,3.63,5.0
218,3.99,5.0
220,3.4,3.0
221,4.02,5.0
222,3.61,5.0
225,3.6,2.0
228,3.77,4.0
230,3.58,4.0
231,3.23,4.0
232,2.96,3.0
233,4.12,5.0
236,3.46,5.0
237,3.66,5.0
238,3.5,4.0
240,3.38,5.0
241,3.84,5.0
243,3.83,5.0
246,3.63,5.0
247,3.41,4.0
248,3.39,4.0
249,3.52,5.0
250,3.47,5.0
251,3.42,5.0
252,3.51,3.0
254,3.71,5.0
255,4.01,5.0
256,3.37,4.0
258,3.22,4.0
261,4.06,5.0
262,3.8,5.0
266,3.35,5.0
268,3.32,4.0
269,2.94,4.0
270,3.88,5.0
271,3.65,5.0
272,2.96,1.0
273,3.69,5.0
275,3.86,5.0
276,3.44,3.0
278,3.55,5.0
279,3.58,5.0
284,3.22,3.0
285,3.57,5.0
286,3.61,5.0
288,3.84,5.0
290,3.53,4.0
291,3.3,4.0
292,3.76,5.0
293,4.0,4.0
294,3.54,4.0
296,3.53,2.0
299,3.64,4.0
301,3.12,3.5
302,2.89,3.5
303,4.19,4.0
305,3.05,4.0
306,3.73,4.0
307,3.32,4.5
310,3.84,4.0
311,3.32,5.0
313,4.47,2.5
317,3.94,5.0
318,4.34,3.0
319,4.32,2.5
321,3.85,4.0
325,3.41,3.5
327,3.22,4.0
328,3.38,4.0
330,3.62,4.5
331,4.0,4.0
334,3.57,1.5
335,3.83,5.0
336,3.51,4.0
337,3.33,4.0
339,3.39,4.0
340,3.93,3.5
341,3.47,4.0
342,3.35,4.5
346,4.0,3.5
348,4.1,3.5
349,3.68,3.5
350,3.48,4.0
352,3.84,4.5
353,3.57,3.5
354,3.59,4.0
355,3.19,4.0
356,3.52,3.5
357,2.92,4.5
362,3.91,3.0
363,3.94,4.5
368,3.81,3.5
374,3.84,4.0
375,3.57,4.0
376,4.06,2.5
379,3.75,4.0
381,3.6,4.5
383,3.78,4.5
384,3.66,4.5
385,3.46,3.5
386,4.25,5.0
388,3.18,4.5
392,3.14,4.0
393,3.15,4.5
394,4.3,4.0
395,2.87,2.0
396,2.52,2.0
398,3.64,4.0
399,4.37,4.0
400,3.94,5.0
401,4.28,4.5
402,4.07,4.5
403,4.11,4.5
405,3.58,2.0
406,3.24,2.0
407,3.81,2.0
408,3.66,0.5
411,4.36,4.0
412,3.09,4.0
413,3.36,4.0
416,3.82,4.0
417,4.24,1.0
418,3.41,2.0
419,3.93,4.0
420,3.7,3.0
423,3.25,1.0
424,4.0,4.0
425,3.4,3.5
426,3.49,1.5
427,3.56,1.5
429,4.04,5.0
434,3.29,4.0
435,3.82,3.0
