original_row_index,oof_pred,rating_true
20819,3.01,2.0
45036,4.23,5.0
13320,4.02,1.0
76636,3.94,3.0
73758,2.89,2.0
50514,3.4,1.0
7659,3.67,2.5
78267,3.16,3.5
67481,3.86,2.5
67750,4.38,4.0
18237,3.43,3.0
62954,4.12,3.0
76529,4.11,4.5
8627,3.16,3.0
46513,3.93,4.0
53512,3.76,1.5
15804,2.97,4.0
54942,3.8,3.5
13714,3.92,4.0
1005,3.98,5.0
58285,3.64,2.0
58819,3.15,4.0
68887,3.3,4.0
2718,3.81,3.0
35722,4.07,3.0
25452,3.42,2.5
10547,2.96,1.0
40976,3.52,2.0
7341,4.19,5.0
58586,3.62,4.0
70289,3.73,3.0
17136,4.27,3.0
81857,3.82,3.5
32682,4.06,5.0
60618,3.19,3.5
27702,3.43,4.0
78632,3.49,2.0
70657,3.79,4.5
42611,4.49,4.0
19574,3.63,4.0
54707,3.29,4.0
59651,3.1,5.0
12086,3.25,3.0
46528,3.49,3.0
38573,3.61,4.5
1592,3.49,1.0
45285,4.18,4.0
76861,3.66,2.0
33758,3.46,3.5
76464,3.61,3.5
56715,3.25,2.0
71215,3.33,3.0
36916,2.85,3.5
19592,2.81,1.0
27069,3.35,4.0
18986,4.1,4.5
44202,4.21,5.0
64021,3.79,5.0
14199,4.16,4.5
68555,3.2,4.0
29027,4.37,4.0
35335,3.33,5.0
18206,3.58,4.0
59763,3.25,3.5
40514,3.19,1.5
79147,3.84,5.0
44394,3.2,3.0
30502,3.6,3.5
73778,3.14,3.0
42178,3.2,4.0
65277,3.73,3.0
42337,3.24,4.0
54833,3.19,2.5
71151,4.24,4.5
64680,4.44,5.0
62526,3.24,2.5
12132,3.99,4.0
78403,3.71,3.0
6192,3.34,3.0
64156,4.44,4.0
13268,3.56,4.0
46669,3.33,3.0
38465,4.04,4.0
81332,3.78,3.0
42386,3.95,4.0
10459,3.44,5.0
15358,3.98,4.0
3333,3.89,5.0
75469,4.1,4.5
42370,3.55,4.5
52537,4.14,4.0
23074,3.62,3.5
2788,3.25,3.0
64813,3.62,4.5
14488,4.03,5.0
19456,3.3,4.5
10784,3.42,4.0
39188,3.46,3.0
60723,3.59,3.0
60814,3.03,2.5
67476,3.8,3.5
16915,3.66,4.5
42446,4.19,5.0
8118,3.99,5.0
31304,2.96,2.0
39911,3.47,3.0
19166,4.21,3.5
68625,3.8,2.0
56751,3.81,3.0
10594,3.43,3.5
57972,3.18,4.0
11810,4.25,4.5
35344,3.47,3.0
1088,4.2,3.0
35734,3.25,3.0
17489,4.22,3.0
34539,4.36,3.5
40396,3.14,3.0
7562,4.04,2.0
28379,3.59,5.0
46841,3.42,4.0
50591,3.94,4.0
33602,3.7,4.5
81558,3.39,4.0
22357,3.6,4.0
16528,3.76,4.0
68691,3.43,3.0
41632,3.5,5.0
65265,3.09,0.5
76830,3.92,3.0
34655,4.36,4.0
73427,3.96,3.0
37733,3.64,3.0
21341,4.08,3.0
22479,3.46,3.0
47824,3.58,4.0
78640,3.37,3.0
53820,3.28,1.0
33185,4.15,1.0
77268,3.11,2.0
47084,3.73,3.5
32466,4.29,4.0
55122,3.4,2.5
34323,2.96,3.5
26663,3.11,5.0
69248,4.25,4.0
77516,3.99,0.5
56016,3.8,5.0
23664,3.83,4.5
9118,3.87,3.5
27580,3.91,5.0
7773,3.61,4.5
77731,3.74,2.5
35753,3.85,3.0
13893,4.2,3.0
48250,3.19,4.5
40848,3.8,3.5
26983,4.06,2.0
22124,3.56,4.0
30579,3.88,3.5
44836,3.63,4.0
9954,2.91,2.0
69326,4.07,5.0
30899,4.36,3.0
57680,3.51,4.5
45710,3.74,5.0
9886,3.73,2.0
11765,3.49,4.5
63737,3.81,3.0
58379,4.02,5.0
69442,4.22,5.0
46553,3.87,3.0
19288,3.35,3.0
38491,3.86,4.0
42093,3.4,3.0
29586,3.71,4.0
4328,3.76,3.0
56246,3.93,5.0
12897,3.82,4.0
57942,4.01,5.0
77477,3.27,2.0
76101,3.49,5.0
68963,3.72,5.0
29406,3.99,5.0
23216,3.7,3.0
49306,3.7,2.0
3641,4.07,4.0
47754,3.51,3.0
29338,3.02,4.0
6138,3.24,3.5
28250,3.67,2.5
18402,3.46,5.0
4009,3.8,4.0
23956,3.82,2.0
70929,4.08,3.5
20909,3.93,5.0
2257,3.09,3.5
64630,4.08,5.0
65402,3.73,5.0
51614,2.75,2.0
47434,4.13,4.0
32700,3.9,3.5
64695,4.29,5.0
23972,3.66,4.0
36103,3.48,5.0
40999,3.58,2.0
46981,3.42,4.0
25432,3.69,1.5
10156,2.87,3.0
48069,3.24,4.5
53378,3.62,3.5
25546,3.27,1.0
21007,2.88,3.5
8877,3.83,4.0
65644,3.81,4.0
3971,4.18,3.5
80773,3.37,3.5
36835,3.58,5.0
68943,2.77,3.0
44616,3.51,3.0
46097,3.9,1.0
32115,3.43,2.0
43259,3.6,2.5
10362,3.39,4.5
60352,4.1,5.0
67056,3.08,3.5
25922,3.72,5.0
56061,4.42,5.0
4549,3.93,4.0
19455,3.82,4.0
58116,4.26,3.5
23524,3.63,3.0
3987,4.02,3.5
78109,3.64,5.0
61850,3.61,4.0
29704,3.74,4.5
63052,4.4,5.0
25328,3.38,2.5
81736,3.81,4.0
35764,3.42,2.0
16861,4.06,4.0
21424,3.34,1.5
49360,3.87,5.0
23284,4.14,3.5
2532,3.28,3.0
34040,2.85,2.5
37362,3.71,3.0
67227,4.1,5.0
14028,4.12,5.0
58421,3.57,5.0
41736,3.01,3.0
42577,3.04,3.0
46820,4.11,2.0
37162,4.01,5.0
71723,3.75,2.0
29112,3.69,4.0
80486,3.87,4.0
12184,3.94,3.0
23258,3.71,4.0
9875,3.46,4.5
69171,3.91,5.0
75743,3.52,4.0
35704,4.03,4.0
25118,3.82,1.0
50213,3.68,5.0
52707,3.78,3.0
70988,3.72,3.5
74966,3.68,3.0
5241,3.87,3.0
3316,3.53,4.5
55813,4.16,3.0
3213,3.63,4.0
15153,3.76,5.0
219,3.85,5.0
69663,3.32,3.5
17713,2.94,4.0
18222,3.58,2.5
628,4.02,4.0
44892,3.86,4.0
73554,3.94,4.0
73219,3.34,4.0
44384,3.61,4.0
34137,3.75,4.0
50401,4.09,4.0
40354,2.77,2.0
991,4.3,5.0
17802,3.39,4.0
19049,2.63,2.0
28118,3.43,3.0
80161,3.76,4.5
73283,3.46,4.0
26386,3.87,4.0
38676,4.16,4.5
402,4.03,4.5
36128,4.09,3.0
68058,3.23,2.0
74072,3.1,4.5
38143,3.85,3.5
7435,3.57,0.5
53119,3.83,5.0
3596,4.2,3.5
59524,3.52,3.5
23487,3.85,4.0
22320,4.09,4.0
57405,4.01,3.0
75782,4.22,4.0
5755,4.29,4.5
31050,3.67,2.0
27546,3.99,4.5
62574,4.36,3.5
69197,3.52,3.0
55274,3.67,4.5
47043,3.6,2.5
64839,3.39,4.5
73941,3.47,4.0
10216,3.94,4.5
10546,3.94,5.0
2210,2.74,1.5
35095,4.12,4.0
30857,3.0,2.0
18534,3.88,4.0
33764,3.69,4.0
25179,3.12,2.0
28643,3.69,3.5
3555,4.08,4.5
52117,3.27,1.0
37076,3.66,5.0
61107,2.94,3.0
34228,3.4,4.5
52472,3.7,3.0
24568,4.12,4.0
62861,3.96,5.0
1989,3.05,1.5
63832,3.21,2.0
56150,3.5,1.0
61416,2.96,3.0
10071,2.63,2.5
76429,4.3,5.0
23757,3.58,3.0
30181,3.94,3.5
77438,3.92,2.5
73226,3.44,3.0
14948,3.54,1.0
47254,3.34,3.0
26520,3.32,5.0
61072,3.67,4.0
10433,3.16,3.5
67239,2.94,3.0
53711,3.77,3.5
11311,4.31,3.5
74986,4.27,4.5
27296,3.5,3.0
18604,4.06,4.0
80170,4.06,4.5
81409,3.84,3.0
26392,3.74,2.0
11331,4.14,5.0
26562,3.92,4.0
21491,3.61,4.5
65334,4.03,5.0
64476,4.03,4.0
19056,3.54,4.0
77174,3.46,2.5
19911,3.98,4.0
62241,3.42,2.0
24442,2.58,1.5
51312,4.12,5.0
73336,3.32,2.5
7605,4.08,5.0
38311,3.61,3.5
47302,3.74,4.5
5509,3.69,3.0
70201,3.94,3.0
27976,3.88,4.0
23415,4.23,4.0
41941,3.1,1.0
51829,4.13,2.0
52132,3.86,4.0
4258,3.74,4.0
53892,3.33,2.5
35502,4.03,4.5
12339,4.06,5.0
58098,3.48,3.0
47835,4.17,3.0
68974,3.24,4.0
21088,3.61,3.0
335,3.83,5.0
72103,3.43,1.0
64019,3.51,4.0
49979,4.14,5.0
37311,3.5,3.5
74583,3.73,3.0
74166,3.8,5.0
722,2.99,4.5
42831,2.91,3.0
36682,3.26,3.0
14037,4.01,4.0
68886,3.03,5.0
75776,3.36,3.5
28430,3.97,5.0
27270,3.37,4.0
58375,3.77,5.0
40045,3.6,3.5
12254,4.03,4.0
61588,4.13,5.0
63969,4.18,4.0
20037,4.26,4.0
34357,3.48,3.0
33170,3.0,3.0
38544,3.67,0.5
27273,4.07,3.0
16509,3.99,4.5
53607,3.5,1.0
9110,4.02,4.0
71424,3.59,5.0
8000,3.35,3.5
51650,3.24,2.0
81585,3.57,4.0
78719,3.91,3.0
67705,3.89,4.0
29524,3.38,5.0
74979,3.73,4.0
66386,3.99,4.0
24945,3.67,2.0
58670,3.9,5.0
67927,3.4,4.0
57085,2.76,2.5
33225,3.49,5.0
76185,4.5,4.0
54255,3.79,2.0
22844,3.78,1.0
80951,3.38,4.0
51094,3.65,4.5
34270,3.37,4.0
22648,3.18,4.0
61191,3.78,3.0
71244,3.28,2.5
15283,3.81,5.0
66660,3.12,3.0
63210,3.92,4.0
33969,3.45,3.0
69084,3.46,1.0
18516,3.82,3.5
33006,3.91,3.0
31641,3.88,3.0
49897,3.54,2.5
24813,3.81,1.0
10065,3.22,4.0
21918,2.55,2.0
73796,3.41,4.0
42552,4.08,4.0
65744,3.53,3.5
34216,4.12,3.5
48227,3.34,3.5
44868,2.63,2.0
61622,4.51,3.0
62135,3.18,4.5
29894,4.17,5.0
34938,3.98,4.5
22416,3.52,3.0
54449,3.47,5.0
10560,3.98,5.0
12292,3.0,4.0
66634,3.28,3.0
51218,4.4,4.0
39715,3.73,4.0
10191,3.32,3.0
12906,3.4,3.0
33523,3.96,2.5
49291,3.47,2.5
34672,3.68,4.0
47324,3.93,4.5
3807,4.38,4.0
69023,3.83,3.0
52587,4.04,2.5
31817,3.66,3.5
25169,3.41,4.0
33687,3.69,3.0
70246,3.77,3.0
46608,3.95,4.0
31428,3.87,2.5
21820,3.36,2.0
25558,3.17,2.5
55791,2.63,3.0
12310,3.77,4.0
75537,3.72,4.0
37319,3.48,3.5
21585,3.99,3.0
44039,3.24,2.5
30272,3.82,4.5
21205,2.98,1.0
73621,3.18,5.0
40515,2.93,2.5
43900,3.19,3.0
46942,3.26,3.5
14635,4.18,4.0
53379,3.29,4.5
11634,3.89,5.0
21074,3.53,4.0
59231,3.59,0.5
50976,4.17,4.5
56968,3.63,3.0
15838,3.7,5.0
33349,3.78,5.0
896,3.21,2.0
35498,3.53,3.5
2881,3.46,1.0
79172,3.88,3.5
55553,3.63,2.0
71892,3.81,4.0
57526,3.3,4.5
43942,3.83,3.0
44445,2.99,3.0
8323,3.77,3.0
54611,4.19,4.0
31495,3.81,4.0
47728,3.91,3.0
50752,3.55,4.5
35873,3.95,5.0
54050,3.26,3.0
58208,3.8,3.0
17959,3.26,4.0
22422,3.14,1.0
34107,4.01,3.5
69796,3.36,3.0
61868,3.67,5.0
44407,2.87,4.0
20803,3.75,1.0
14496,2.89,2.5
80684,2.69,4.0
63379,4.07,3.0
850,3.61,4.5
51033,3.48,5.0
30995,4.15,4.0
59541,2.91,3.0
25458,3.26,2.0
26351,3.89,4.0
2374,3.28,4.0
46699,3.57,3.5
70104,3.76,3.0
81232,3.08,4.0
81104,4.07,3.0
76017,3.81,4.5
71964,4.2,4.0
57245,3.78,5.0
9203,3.51,3.5
64503,4.41,4.0
